file,segment,dhash
seg-1786806758829-av_020.jpg,seg-1786806758829-av,2821405718929548613
seg-1786810603879-av_020.jpg,seg-1786810603879-av,506390006094302734
seg-1786810603879-av_022.jpg,seg-1786810603879-av,868083177863646735
seg-1786815362936-av_001.jpg,seg-1786815362936-av,15876354772459884270
seg-1786902238157-av_013.jpg,seg-1786902238157-av,15876565878692424623
seg-1786902358439-av_029.jpg,seg-1786902358439-av,15860582828988992459
seg-1786906990088-av_021.jpg,seg-1786906990088-av,4340383775583935423
seg-1786906990088-av_022.jpg,seg-1786906990088-av,15874175635240821731
seg-1786907050241-av_001.jpg,seg-1786907050241-av,15878606022450387915
seg-1786950729677-av_002.jpg,seg-1786950729677-av,15876354205456837354
seg-1786954280414-av_025.jpg,seg-1786954280414-av,15876495492701141931
seg-1786954822027-av_005.jpg,seg-1786954822027-av,15880893556459216858
seg-1786954822027-av_026.jpg,seg-1786954822027-av,15894368793753467578
seg-1786954882152-av_015.jpg,seg-1786954882152-av,15880945835003484890
seg-1786954882152-av_027.jpg,seg-1786954882152-av,11282770734098291322
seg-1786955243309-av_024.jpg,seg-1786955243309-av,15894509358903110330
seg-1786955303490-av_014.jpg,seg-1786955303490-av,15876425141408381643
seg-1786955604418-av_013.jpg,seg-1786955604418-av,2023493734340688634
seg-1786955604418-av_015.jpg,seg-1786955604418-av,2023352722504989370
seg-1786955724744-av_018.jpg,seg-1786955724744-av,15880858441008814618
seg-1786955724744-av_023.jpg,seg-1786955724744-av,15876337146116348427
seg-1786955784914-av_016.jpg,seg-1786955784914-av,15880893796977512334
seg-1786955784914-av_017.jpg,seg-1786955784914-av,15880823153354905503
seg-1786955965437-av_003.jpg,seg-1786955965437-av,2023273039585098266
seg-1786955965437-av_028.jpg,seg-1786955965437-av,11246662602052872890
seg-1786957048819-av_011.jpg,seg-1786957048819-av,16457292736045292190
seg-1786957048819-av_026.jpg,seg-1786957048819-av,15880840230147501742
seg-1786957409937-av_025.jpg,seg-1786957409937-av,15878658867997481626
seg-1786958071851-av_005.jpg,seg-1786958071851-av,15878623769390128028
seg-1786958071851-av_009.jpg,seg-1786958071851-av,15883109622145126046
seg-1786958794145-av_010.jpg,seg-1786958794145-av,2025498934043516574
seg-1786958794145-av_012.jpg,seg-1786958794145-av,2023281766689147438
seg-1786959095064-av_029.jpg,seg-1786959095064-av,14721198992785955418
seg-1786959516386-av_016.jpg,seg-1786959516386-av,14727909929378163374
seg-1786959997858-av_021.jpg,seg-1786959997858-av,14727918794459093656
seg-1786959997858-av_022.jpg,seg-1786959997858-av,15885352625800514200
seg-1786960419184-av_022.jpg,seg-1786960419184-av,2079621017643785372
seg-1786960419184-av_029.jpg,seg-1786960419184-av,11257912976902753676
seg-1786960659882-av_002.jpg,seg-1786960659882-av,15878679114136981388
seg-1786960659882-av_009.jpg,seg-1786960659882-av,15874149126232131470
seg-1786961201669-av_019.jpg,seg-1786961201669-av,15878588481803946392
seg-1786961322036-av_029.jpg,seg-1786961322036-av,15876424557495356812
seg-1786961322036-av_030.jpg,seg-1786961322036-av,15876565981643197837
seg-1786961502592-av_006.jpg,seg-1786961502592-av,15880857891050916248
seg-1786963187801-av_026.jpg,seg-1786963187801-av,15876345425000435081
seg-1786963909995-av_002.jpg,seg-1786963909995-av,6655454437744348557
seg-1786964150759-av_008.jpg,seg-1786964150759-av,15878614885115402649
seg-1786964150759-av_021.jpg,seg-1786964150759-av,15874138154866609565
seg-1786964391519-av_024.jpg,seg-1786964391519-av,2043583699208674701
seg-1786964692408-av_028.jpg,seg-1786964692408-av,15860768093477051853
seg-1786965234128-av_001.jpg,seg-1786965234128-av,15860574064228178329
seg-1786965234128-av_002.jpg,seg-1786965234128-av,15878623785093994937
seg-1786965715697-av_014.jpg,seg-1786965715697-av,14725666925724867999
seg-1786965715697-av_018.jpg,seg-1786965715697-av,11248914537163282697
seg-1786965775877-av_013.jpg,seg-1786965775877-av,15878570973898513691
seg-1786965775877-av_014.jpg,seg-1786965775877-av,15878650001029077273
seg-1786965836057-av_012.jpg,seg-1786965836057-av,2043627267557956041
seg-1786965836057-av_014.jpg,seg-1786965836057-av,15874075998095707403
seg-1786966076745-av_020.jpg,seg-1786966076745-av,15878676528700886345
seg-1786966197111-av_011.jpg,seg-1786966197111-av,2025533703942049033
seg-1786966317522-av_001.jpg,seg-1786966317522-av,14721163324219201819
seg-1786966919362-av_016.jpg,seg-1786966919362-av,14730153482922003851
seg-1786967340706-av_021.jpg,seg-1786967340706-av,6655269167887584651
seg-1786969447373-av_018.jpg,seg-1786969447373-av,15876371814890113923
seg-1786969507544-av_020.jpg,seg-1786969507544-av,15883109587789056919
seg-1786969567782-av_007.jpg,seg-1786969567782-av,15885361423036747663
seg-1786969567782-av_026.jpg,seg-1786969567782-av,15874137573376445135
seg-1786969688125-av_018.jpg,seg-1786969688125-av,15874102491811944508
seg-1786969868668-av_015.jpg,seg-1786969868668-av,15880893006707723468
seg-1786970290030-av_004.jpg,seg-1786970290030-av,15876424591987223694
seg-1786970590909-av_021.jpg,seg-1786970590909-av,15878676976110172844
seg-1786970771523-av_003.jpg,seg-1786970771523-av,11284899218227497132
seg-1786970771523-av_005.jpg,seg-1786970771523-av,15914599704085170828
seg-1786970831703-av_003.jpg,seg-1786970831703-av,15871921060745616012
seg-1786971493780-av_028.jpg,seg-1786971493780-av,11285075140356640396
seg-1786971734518-av_010.jpg,seg-1786971734518-av,15883127283323275916
seg-1786971854891-av_002.jpg,seg-1786971854891-av,6650765570344782478
seg-1786971854891-av_009.jpg,seg-1786971854891-av,6657450601037203596
seg-1786972035507-av_029.jpg,seg-1786972035507-av,15885361937224336540
seg-1786972095691-av_018.jpg,seg-1786972095691-av,2050338517225868428
seg-1786972095691-av_024.jpg,seg-1786972095691-av,6657591888348218524
seg-1786972276265-av_025.jpg,seg-1786972276265-av,11244472924386134668
seg-1786972336445-av_028.jpg,seg-1786972336445-av,15885361559934373004
seg-1786973058665-av_008.jpg,seg-1786973058665-av,15874138122523821772
seg-1786973058665-av_023.jpg,seg-1786973058665-av,15881034535409075918
seg-1786973359652-av_003.jpg,seg-1786973359652-av,11251298692638477484
seg-1786973419790-av_029.jpg,seg-1786973419790-av,2045870134715264172
seg-1786973540131-av_024.jpg,seg-1786973540131-av,2023422538807782956
seg-1786973540131-av_025.jpg,seg-1786973540131-av,6653193876400549612
seg-1786973841082-av_012.jpg,seg-1786973841082-av,2021065116954660396
